Protein_sample	Phosphosite_sample	Cor_sample	group
T_C3L_03394	T_C3L_03394	T_C3L_03394	T
T_C3N_03428	T_C3N_03428	T_C3N_03428	T
T_C3L_02112	T_C3L_02112	T_C3L_02112	T
T_C3N_01719	T_C3N_01719	T_C3N_01719	T
T_C3N_03670	T_C3N_03670	T_C3N_03670	T
T_C3N_02998	T_C3N_02998	T_C3N_02998	T
T_C3N_03211	T_C3N_03211	T_C3N_03211	T
T_C3L_01052	T_C3L_01052	T_C3L_01052	T
T_C3N_00512	T_C3N_00512	T_C3N_00512	T
T_C3N_02295	T_C3N_02295	T_C3N_02295	T
T_C3N_01012	T_C3N_01012	T_C3N_01012	T
T_C3N_01502	T_C3N_01502	T_C3N_01502	T
T_C3L_01053	T_C3L_01053	T_C3L_01053	T
T_C3L_03632	T_C3L_03632	T_C3L_03632	T
T_C3L_00401	T_C3L_00401	T_C3L_00401	T
T_C3L_01054	T_C3L_01054	T_C3L_01054	T
T_C3N_00517	T_C3N_00517	T_C3N_00517	T
T_C3N_03440	T_C3N_03440	T_C3N_03440	T
T_C3L_04495	T_C3L_04495	T_C3L_04495	T
T_C3N_04284	T_C3N_04284	T_C3N_04284	T
T_C3N_00957	T_C3N_00957	T_C3N_00957	T
T_C3L_03395	T_C3L_03395	T_C3L_03395	T
T_C3N_00303	T_C3N_00303	T_C3N_00303	T
T_C3N_00513	T_C3N_00513	T_C3N_00513	T
T_C3N_01166	T_C3N_01166	T_C3N_01166	T
T_C3N_01382	T_C3N_01382	T_C3N_01382	T
T_C3N_01011	T_C3N_01011	T_C3N_01011	T
T_C3L_04473	T_C3L_04473	T_C3L_04473	T
T_C3N_01997	T_C3N_01997	T_C3N_01997	T
T_C3L_00640	T_C3L_00640	T_C3L_00640	T
T_C3L_00189	T_C3L_00189	T_C3L_00189	T
T_C3N_01998	T_C3N_01998	T_C3N_01998	T
T_C3L_01036	T_C3L_01036	T_C3L_01036	T
T_C3N_03069	T_C3N_03069	T_C3N_03069	T
T_C3L_00881	T_C3L_00881	T_C3L_00881	T
T_C3N_01715	T_C3N_01715	T_C3N_01715	T
T_C3N_03426	T_C3N_03426	T_C3N_03426	T
T_C3N_00198	T_C3N_00198	T_C3N_00198	T
T_C3N_01380	T_C3N_01380	T_C3N_01380	T
T_C3N_01388	T_C3N_01388	T_C3N_01388	T
T_C3L_03388	T_C3L_03388	T_C3L_03388	T
T_C3N_02589	T_C3N_02589	T_C3N_02589	T
T_C3L_03356	T_C3L_03356	T_C3L_03356	T
T_C3N_02944	T_C3N_02944	T_C3N_02944	T
T_C3N_00436	T_C3N_00436	T_C3N_00436	T
T_C3L_00928	T_C3L_00928	T_C3L_00928	T
T_C3L_01124	T_C3L_01124	T_C3L_01124	T
T_C3N_02592	T_C3N_02592	T_C3N_02592	T
T_C3N_01383	T_C3N_01383	T_C3N_01383	T
T_C3N_03439	T_C3N_03439	T_C3N_03439	T
T_C3N_03006	T_C3N_03006	T_C3N_03006	T
T_C3N_01165	T_C3N_01165	T_C3N_01165	T
T_C3N_03173	T_C3N_03173	T_C3N_03173	T
T_C3L_04475	T_C3L_04475	T_C3L_04475	T
T_C3L_04853	T_C3L_04853	T_C3L_04853	T
T_C3L_02115	T_C3L_02115	T_C3L_02115	T
T_C3L_02701	T_C3L_02701	T_C3L_02701	T
T_C3L_00102	T_C3L_00102	T_C3L_00102	T
T_C3N_01375	T_C3N_01375	T_C3N_01375	T
T_C3N_03884	T_C3N_03884	T_C3N_03884	T
T_C3N_01168	T_C3N_01168	T_C3N_01168	T
T_C3L_00622	T_C3L_00622	T_C3L_00622	T
T_C3N_01381	T_C3N_01381	T_C3N_01381	T
T_C3L_01703	T_C3L_01703	T_C3L_01703	T
T_C3L_02118	T_C3L_02118	T_C3L_02118	T
T_C3L_03628	T_C3L_03628	T_C3L_03628	T
T_C3N_03780	T_C3N_03780	T_C3N_03780	T
T_C3L_01637	T_C3L_01637	T_C3L_01637	T
T_C3N_04119	T_C3N_04119	T_C3N_04119	T
T_C3L_02899	T_C3L_02899	T_C3L_02899	T
T_C3N_02971	T_C3N_02971	T_C3N_02971	T
T_C3N_02573	T_C3N_02573	T_C3N_02573	T
T_C3L_00819	T_C3L_00819	T_C3L_00819	T
T_C3N_01714	T_C3N_01714	T_C3N_01714	T
T_C3L_02890	T_C3L_02890	T_C3L_02890	T
T_C3L_02116	T_C3L_02116	T_C3L_02116	T
T_C3L_01453	T_C3L_01453	T_C3L_01453	T
T_C3L_03635	T_C3L_03635	T_C3L_03635	T
T_C3N_00518	T_C3N_00518	T_C3N_00518	T
T_C3N_03840	T_C3N_03840	T_C3N_03840	T
T_C3L_02606	T_C3L_02606	T_C3L_02606	T
T_C3N_03061	T_C3N_03061	T_C3N_03061	T
T_C3L_04848	T_C3L_04848	T_C3L_04848	T
T_C3N_00514	T_C3N_00514	T_C3N_00514	T
T_C3L_02897	T_C3L_02897	T_C3L_02897	T
T_C3L_01687	T_C3L_01687	T_C3L_01687	T
T_C3N_02940	T_C3N_02940	T_C3N_02940	T
T_C3L_04080	T_C3L_04080	T_C3L_04080	T
T_C3N_03853	T_C3N_03853	T_C3N_03853	T
T_C3N_04283	T_C3N_04283	T_C3N_04283	T
T_C3L_02109	T_C3L_02109	T_C3L_02109	T
T_C3L_03630	T_C3L_03630	T_C3L_03630	T
T_C3L_01662	T_C3L_01662	T_C3L_01662	T
T_C3N_00709	T_C3N_00709	T_C3N_00709	T
T_C3N_03007	T_C3N_03007	T_C3N_03007	T
T_C3N_03665	T_C3N_03665	T_C3N_03665	T
T_C3L_01598	T_C3L_01598	T_C3L_01598	T
T_C3L_00599	T_C3L_00599	T_C3L_00599	T
T_C3L_01051	T_C3L_01051	T_C3L_01051	T
T_C3N_01716	T_C3N_01716	T_C3N_01716	T
T_C3N_03839	T_C3N_03839	T_C3N_03839	T
T_C3L_04479	T_C3L_04479	T_C3L_04479	T
T_C3L_00625	T_C3L_00625	T_C3L_00625	T
T_C3N_03754	T_C3N_03754	T_C3N_03754	T
T_C3L_01037	T_C3L_01037	T_C3L_01037	T
T_C3N_03666	T_C3N_03666	T_C3N_03666	T
T_C3N_04126	T_C3N_04126	T_C3N_04126	T
T_C3L_00017	T_C3L_00017	T_C3L_00017	T
T_C3L_01689	T_C3L_01689	T_C3L_01689	T
T_C3L_04027	T_C3L_04027	T_C3L_04027	T
T_C3N_02585	T_C3N_02585	T_C3N_02585	T
T_C3N_03039	T_C3N_03039	T_C3N_03039	T
T_C3N_03086	T_C3N_03086	T_C3N_03086	T
T_C3L_02463	T_C3L_02463	T_C3L_02463	T
T_C3N_00249	T_C3N_00249	T_C3N_00249	T
T_C3L_00589	T_C3L_00589	T_C3L_00589	T
T_C3N_00302	T_C3N_00302	T_C3N_00302	T
T_C3L_03743	T_C3L_03743	T_C3L_03743	T
T_C3N_00511	T_C3N_00511	T_C3N_00511	T
T_C3N_03190	T_C3N_03190	T_C3N_03190	T
T_C3N_00516	T_C3N_00516	T_C3N_00516	T
T_C3L_02610	T_C3L_02610	T_C3L_02610	T
T_C3N_02579	T_C3N_02579	T_C3N_02579	T
T_C3N_03000	T_C3N_03000	T_C3N_03000	T
T_C3L_00598	T_C3L_00598	T_C3L_00598	T
T_C3N_03430	T_C3N_03430	T_C3N_03430	T
T_C3L_02809	T_C3L_02809	T_C3L_02809	T
T_C3N_02768	T_C3N_02768	T_C3N_02768	T
T_C3L_03123	T_C3L_03123	T_C3L_03123	T
T_C3N_02010	T_C3N_02010	T_C3N_02010	T
T_C3L_01031	T_C3L_01031	T_C3L_01031	T
T_C3N_01167	T_C3N_01167	T_C3N_01167	T
T_C3L_01971	T_C3L_01971	T_C3L_01971	T
T_C3L_02604	T_C3L_02604	T_C3L_02604	T
T_C3L_00277	T_C3L_00277	T_C3L_00277	T
T_C3L_01328	T_C3L_01328	T_C3L_01328	T
T_C3L_03639	T_C3L_03639	T_C3L_03639	T
T_C3N_04282	T_C3N_04282	T_C3N_04282	T
T_C3L_04072	T_C3L_04072	T_C3L_04072	T
T_C3L_02613	T_C3L_02613	T_C3L_02613	T
N_C3L_03123	N_C3L_03123	N_C3L_03123	N
N_C3N_03884	N_C3N_03884	N_C3N_03884	N
N_C3L_03630	N_C3L_03630	N_C3L_03630	N
N_C3L_03356	N_C3L_03356	N_C3L_03356	N
N_C3L_01054	N_C3L_01054	N_C3L_01054	N
N_C3L_04495	N_C3L_04495	N_C3L_04495	N
N_C3L_02610	N_C3L_02610	N_C3L_02610	N
N_C3L_03388	N_C3L_03388	N_C3L_03388	N
N_C3N_02768	N_C3N_02768	N_C3N_02768	N
N_C3N_01998	N_C3N_01998	N_C3N_01998	N
N_C3L_01971	N_C3L_01971	N_C3L_01971	N
N_C3N_00249	N_C3N_00249	N_C3N_00249	N
N_C3L_01637	N_C3L_01637	N_C3L_01637	N
N_C3L_01598	N_C3L_01598	N_C3L_01598	N
N_C3L_02809	N_C3L_02809	N_C3L_02809	N
N_C3L_02606	N_C3L_02606	N_C3L_02606	N
N_C3N_01997	N_C3N_01997	N_C3N_01997	N
N_C3N_02589	N_C3N_02589	N_C3N_02589	N
N_C3L_04479	N_C3L_04479	N_C3L_04479	N
N_C3L_01051	N_C3L_01051	N_C3L_01051	N
N_C3N_03211	N_C3N_03211	N_C3N_03211	N
N_C3L_04473	N_C3L_04473	N_C3L_04473	N
N_C3N_00436	N_C3N_00436	N_C3N_00436	N
N_C3N_00513	N_C3N_00513	N_C3N_00513	N
N_C3L_00277	N_C3L_00277	N_C3L_00277	N
N_C3L_00881	N_C3L_00881	N_C3L_00881	N
N_C3L_04848	N_C3L_04848	N_C3L_04848	N
N_C3L_01037	N_C3L_01037	N_C3L_01037	N
N_C3L_01036	N_C3L_01036	N_C3L_01036	N
N_C3L_03395	N_C3L_03395	N_C3L_03395	N
N_C3N_03780	N_C3N_03780	N_C3N_03780	N
N_C3N_00957	N_C3N_00957	N_C3N_00957	N
N_C3N_04282	N_C3N_04282	N_C3N_04282	N
N_C3L_00819	N_C3L_00819	N_C3L_00819	N
N_C3N_03440	N_C3N_03440	N_C3N_03440	N
N_C3N_03061	N_C3N_03061	N_C3N_03061	N
N_C3L_00189	N_C3L_00189	N_C3L_00189	N
N_C3L_01124	N_C3L_01124	N_C3L_01124	N
N_C3L_03632	N_C3L_03632	N_C3L_03632	N
N_C3N_02010	N_C3N_02010	N_C3N_02010	N
N_C3L_04072	N_C3L_04072	N_C3L_04072	N
N_C3N_00518	N_C3N_00518	N_C3N_00518	N
N_C3L_00102	N_C3L_00102	N_C3L_00102	N
N_C3L_00928	N_C3L_00928	N_C3L_00928	N
N_C3N_03840	N_C3N_03840	N_C3N_03840	N
N_C3N_00517	N_C3N_00517	N_C3N_00517	N
N_C3N_02585	N_C3N_02585	N_C3N_02585	N
N_C3N_03426	N_C3N_03426	N_C3N_03426	N
N_C3N_02944	N_C3N_02944	N_C3N_02944	N
N_C3N_02592	N_C3N_02592	N_C3N_02592	N
N_C3N_04119	N_C3N_04119	N_C3N_04119	N
N_C3L_04853	N_C3L_04853	N_C3L_04853	N
N_C3L_03639	N_C3L_03639	N_C3L_03639	N
N_C3N_00514	N_C3N_00514	N_C3N_00514	N
N_C3L_00640	N_C3L_00640	N_C3L_00640	N
N_C3L_01052	N_C3L_01052	N_C3L_01052	N
N_C3N_02573	N_C3N_02573	N_C3N_02573	N
N_C3N_02295	N_C3N_02295	N_C3N_02295	N
N_C3N_00709	N_C3N_00709	N_C3N_00709	N
N_C3L_01031	N_C3L_01031	N_C3L_01031	N
N_C3L_01053	N_C3L_01053	N_C3L_01053	N
N_C3L_00401	N_C3L_00401	N_C3L_00401	N
N_C3N_03839	N_C3N_03839	N_C3N_03839	N
N_C3N_01011	N_C3N_01011	N_C3N_01011	N
N_C3N_03069	N_C3N_03069	N_C3N_03069	N
N_C3N_00512	N_C3N_00512	N_C3N_00512	N
N_C3L_02899	N_C3L_02899	N_C3L_02899	N
N_C3L_03513	N_C3L_03513	N_C3L_03513	N
N_C3L_03514	N_C3L_03514	N_C3L_03514	N
N_C3L_03515	N_C3L_03515	N_C3L_03515	N
N_C3L_07032	N_C3L_07032	N_C3L_07032	N
N_C3L_07033	N_C3L_07033	N_C3L_07033	N
N_C3L_07034	N_C3L_07034	N_C3L_07034	N
N_C3L_07035	N_C3L_07035	N_C3L_07035	N
N_C3L_07036	N_C3L_07036	N_C3L_07036	N
